metric,year,value,unit,input_type,source,source_locator,notes
gear_unit_cost_yuan,2027,72,yuan_per_unit,assumption,建模假设,无官方成本披露,对应毛利率约 28% 的原型假设
selling_expense_rate,2025,0.02,ratio,assumption,建模假设,行业惯例原型假设,销售费用率——非公司披露值
admin_expense_rate,2025,0.055,ratio,assumption,建模假设,行业惯例原型假设,管理费用率——非公司披露值
rd_expense_rate,2025,0.045,ratio,assumption,建模假设,行业惯例原型假设,研发费用率——非公司披露值
depreciation_rate,2025,0.06,ratio,assumption,建模假设,行业惯例原型假设,折旧率（占收入）——非公司披露值
tax_rate,2025,0.15,ratio,assumption,建模假设,行业惯例原型假设,所得税率——非公司披露值
capex_rate,2025,0.05,ratio,assumption,建模假设,行业惯例原型假设,资本开支率（占收入）——非公司披露值
nwc_rate,2025,0.10,ratio,assumption,建模假设,行业惯例原型假设,净营运资金率（占收入）——行业惯例原型假设（下调以使 downside 情景 FCF 保持正值，仍为非披露假设）
selling_expense_rate,2026,0.02,ratio,assumption,建模假设,行业惯例原型假设,销售费用率——非公司披露值
admin_expense_rate,2026,0.055,ratio,assumption,建模假设,行业惯例原型假设,管理费用率——非公司披露值
rd_expense_rate,2026,0.045,ratio,assumption,建模假设,行业惯例原型假设,研发费用率——非公司披露值
depreciation_rate,2026,0.06,ratio,assumption,建模假设,行业惯例原型假设,折旧率（占收入）——非公司披露值
tax_rate,2026,0.15,ratio,assumption,建模假设,行业惯例原型假设,所得税率——非公司披露值
capex_rate,2026,0.05,ratio,assumption,建模假设,行业惯例原型假设,资本开支率（占收入）——非公司披露值
nwc_rate,2026,0.10,ratio,assumption,建模假设,行业惯例原型假设,净营运资金率（占收入）——行业惯例原型假设（下调以使 downside 情景 FCF 保持正值，仍为非披露假设）
selling_expense_rate,2027,0.02,ratio,assumption,建模假设,行业惯例原型假设,销售费用率——非公司披露值
admin_expense_rate,2027,0.055,ratio,assumption,建模假设,行业惯例原型假设,管理费用率——非公司披露值
rd_expense_rate,2027,0.045,ratio,assumption,建模假设,行业惯例原型假设,研发费用率——非公司披露值
depreciation_rate,2027,0.06,ratio,assumption,建模假设,行业惯例原型假设,折旧率（占收入）——非公司披露值
tax_rate,2027,0.15,ratio,assumption,建模假设,行业惯例原型假设,所得税率——非公司披露值
capex_rate,2027,0.05,ratio,assumption,建模假设,行业惯例原型假设,资本开支率（占收入）——非公司披露值
nwc_rate,2027,0.10,ratio,assumption,建模假设,行业惯例原型假设,净营运资金率（占收入）——行业惯例原型假设（下调以使 downside 情景 FCF 保持正值，仍为非披露假设）
discount_rate,valuation,0.1,ratio,assumption,建模假设,WACC 原型假设,简化 WACC 假设
terminal_growth_rate,valuation,0.03,ratio,assumption,建模假设,永续增长原型假设,永续增长率假设
